round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,obsolete_votes,round_duration_ms,in_peers,out_peers,bundle_votes
55832868,10,309,138,0,0,0,411,2727,0,52,96
55832869,6,331,154,0,0,0,400,2893,0,52,125
55832870,6,318,157,0,0,0,399,2652,0,52,145
55832871,5,309,169,0,0,0,404,2848,0,52,152
55832872,6,323,166,0,0,0,395,2770,0,52,156
55832873,4,312,149,0,0,0,423,2755,0,52,111
55832874,5,342,160,0,0,0,403,2806,0,52,158
55832875,6,310,161,0,0,0,422,2807,0,52,127
55832876,6,318,175,0,0,0,388,2639,0,52,135
55832877,7,322,155,0,0,0,412,2823,0,52,93
55832878,3,321,140,0,0,0,418,2845,0,52,134
55832879,9,314,178,0,0,0,402,2725,0,52,153
55832880,4,298,171,0,0,0,412,2820,0,52,155
55832881,5,317,163,0,0,0,400,2797,0,52,147
55832882,5,330,150,0,0,0,414,2824,0,52,117
55832883,5,296,146,0,0,0,417,2703,0,52,141
55832884,5,302,158,0,0,0,399,2765,0,52,155
55832885,4,304,150,0,0,0,396,3006,0,52,129
55832886,8,305,160,0,0,0,406,2644,0,52,158
55832887,6,284,147,0,0,0,406,2752,0,52,147
55832888,9,305,157,0,0,0,381,2725,0,52,156
55832889,8,298,145,0,0,0,404,2902,0,52,144
55832890,9,331,172,0,0,0,393,2819,0,52,140
55832891,3,333,151,0,0,0,427,2710,0,52,140
55832892,8,315,169,0,0,0,428,2869,0,52,168
55832893,4,290,165,0,0,0,436,3229,0,52,139
55832894,8,319,162,0,0,0,393,2569,0,52,141
55832895,8,289,163,0,0,0,404,2691,0,52,143
55832896,9,324,151,0,0,0,396,2694,0,52,150
55832897,4,328,146,0,0,0,411,2671,0,52,106
55832898,6,294,153,0,0,0,408,2687,0,52,146
55832899,3,322,165,0,0,0,407,2910,0,52,162
55832900,5,303,130,0,0,0,415,2822,0,52,120
55832901,11,304,145,0,0,0,399,2633,0,52,135
55832902,6,304,139,0,0,0,410,2691,0,52,120
55832903,5,310,152,0,0,0,412,2935,0,52,123
55832904,4,301,154,0,0,0,416,2876,0,52,149
55832905,7,334,160,0,0,0,395,2921,0,52,160
55832906,9,326,152,0,0,0,431,2624,0,52,128
55832907,4,321,161,0,0,0,407,2965,0,52,161
55832908,7,302,145,0,0,0,393,2598,0,52,144
55832909,7,301,155,0,0,0,397,2842,0,52,155
55832910,9,292,146,0,0,0,412,2651,0,52,127
55832911,10,321,143,0,0,0,409,2799,0,52,119
55832912,6,317,144,0,0,0,401,2941,0,52,139
55832913,5,330,160,0,0,0,398,2846,0,52,139
55832914,8,315,162,0,0,0,406,2728,0,52,150
55832915,7,343,154,0,0,0,407,2803,0,52,148
55832916,6,326,171,0,0,0,418,2869,0,52,159
55832917,6,336,163,0,0,0,413,2760,0,52,141
