round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,round_duration_ms,in_peers,out_peers,bundle_votes
55868695,9,324,145,0,0,0,332,187,0,2960,0,48,144
55868696,8,285,142,0,0,0,342,182,0,2604,0,48,135
55868697,7,320,149,0,0,0,293,188,0,2845,0,48,137
55868698,9,308,155,0,0,0,328,181,0,2765,0,48,141
55868699,11,313,157,0,0,0,317,184,0,2808,0,48,112
55868700,9,329,159,0,0,0,332,202,0,2990,0,48,147
55868701,6,306,149,0,0,0,343,195,0,2554,0,48,100
55868702,5,304,164,0,0,0,318,186,0,2802,0,48,160
55868703,8,309,154,0,0,0,302,200,0,2732,0,48,119
55868704,7,301,169,0,0,0,321,182,0,2719,0,48,155
55868705,4,294,154,0,0,0,329,207,0,2774,0,48,149
55868706,6,300,147,0,0,0,312,200,0,2718,0,48,137
55868707,5,326,138,0,0,0,319,193,0,2859,0,48,134
55868708,8,313,141,0,0,0,340,191,0,2729,0,48,137
55868709,5,278,149,0,0,0,334,191,0,2789,0,48,130
55868710,8,319,140,0,0,0,298,189,0,2918,0,48,130
55868711,5,319,168,0,0,0,332,183,0,2739,0,48,145
55868712,9,319,138,0,0,0,334,198,0,2666,0,48,132
55868713,6,328,165,0,0,0,331,165,0,2883,0,47,137
55868714,6,294,169,0,0,0,341,203,0,2751,0,47,156
55868715,5,309,148,0,0,0,313,194,0,2797,0,47,114
55868716,6,295,135,0,0,0,331,185,0,2697,0,47,99
55868717,10,300,155,0,0,0,315,172,0,2678,0,47,149
55868718,6,328,157,0,0,0,312,194,0,2868,0,47,148
55868719,9,309,186,0,0,0,345,213,0,2746,0,47,184
55868720,4,310,170,0,0,0,332,240,0,2927,0,47,138
55868721,10,308,143,0,0,0,320,201,0,2652,0,47,137
55868722,8,318,154,0,0,0,322,181,0,2710,0,47,154
55868723,5,303,152,0,0,0,338,192,0,2831,0,47,127
55868724,6,340,151,0,0,0,327,185,0,3161,0,47,111
55868725,4,316,137,0,0,0,353,180,0,2817,0,47,120
55868726,11,299,140,0,0,0,302,177,0,2578,0,47,134
