Address,Owner,DeFi,Inc. Eligible,Balance,Voting %,Blocks (All time),Ⱥ Payouts (All),Blocks (Last 100K),Ⱥ Payouts (100K),Blocks (Last 1M),Ⱥ Payouts (1M),Update Round,First Valid,Last Valid,Est. Expiration,Key Dilution
EZEZZMRSKYFPTNGJPSDZET2NAUMK62BGP3JDYV3SBZGOWSCVS6JM6RG3UA,,No,true,31853.77831,0.0016425510283453913,35,324.014229,1,9.15892,14,128.482762,55803793,54171180,60171180,2026-04-15T07:53:03.000Z,2450
7OHQCCGUPLVDJKTBEPDPH4S3AZZB7RJD6ZRVP3R4RUZ64UFZIRUOMGMWXI,,No,true,31808.618389,0.0016402223414952268,33,305.014119,0,0,17,156.688334,55755103,53864592,56602620,2025-12-19T01:17:15.000Z,1655
EVTJOGYKPJMNBTJPW7MWURAH5JDRYEX4RMIMYUA467E7XFTTV3ZPCKPPQ4,,No,true,31799.863674,0.0016397709016068038,127,1200.429151,1,9.38917,16,146.842165,55739012,54315715,58018572,2026-02-03T14:04:41.000Z,1925
R4GYIE7KCROEXZOH5UHCCC5RMEHRFJBL7OMNPYOLZA4R33DK6S4R3V5UCU,,No,true,31771.706302,0.0016383189570404796,145,1398.703997,3,27.45051,17,156.17899,55801076,54232825,57232825,2026-01-08T18:20:35.000Z,1733
YDGSD33CVSAOOD6BIUHPV3WK3BCGGVA3DUDDWA6EATJ4WSINFNXEWK2IXE,,No,true,31769.835097,0.0016382224677114244,158,1053.881362,2,18.47234,10,92.023285,55767368,53154590,56154590,2025-12-04T07:55:01.000Z,1733
JFFWRTMKWZR7VTQWYTRLMYHTSKHBVMXLVJ36IEHBO4U6ROH5ZHDGLGNVNI,,No,true,31745.410337,0.0016369629965659722,37,333.765142,2,18.29634,9,82.61383,55782723,52933346,55933346,2025-11-27T01:25:03.000Z,1733
QY7R3TFGS7WTL4SUEJYUDPYESCGOZBJKRDL2VP72MBNU3FDADWJFJ2P5F4,,No,true,31737.074224,0.0016365331420335743,151,1446.424841,1,9.14067,22,201.98392,55806103,46294944,56294944,2025-12-08T22:37:02.000Z,3163
QCORDPJFSQQARKBX2BK7WOLG4XS3NWSWSWKAHFS3YCJZEAMQMKJYOS6KW4,,No,true,31733.385325,0.0016363429226885736,39,366.714624,2,18.30234,5,45.76835,55806103,55121496,57898638,2026-01-30T15:29:01.000Z,1667
7UHT7BJEZEUSWDRJZPTBRH5J6X7YEYMCWXSPJ2QA2AZE5537BDLCGXWH64,,No,true,31707.189424,0.0016349921220486234,145,1384.492473,2,18.29459,18,165.193016,55807103,53045203,56045203,2025-11-30T17:38:29.000Z,1733
7AIKVOZCV5IRKEJ3QOB74N2PLSPTMBDPN5VI2OMIR67IFORG2C72P6UEGU,,No,true,31699.112195,0.0016345756169586776,127,1204.488498,4,36.65793,22,202.036157,55807103,52631042,56333899,2025-12-10T05:20:30.000Z,1925
