round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,soft_unique_senders,cert_unique_senders,soft_total_unique_senders,cert_total_unique_senders,soft_periods,cert_periods,round_duration_ms,in_peers,out_peers,bundle_votes,soft_unique_amplification_on_time,soft_unique_amplification_total,soft_message_amplification_on_time,soft_message_amplification_total,soft_duplication_on_time,soft_duplication_total,soft_total_messages,cert_unique_amplification_on_time,cert_unique_amplification_total,cert_message_amplification_on_time,cert_message_amplification_total,cert_duplication_on_time,cert_duplication_total,cert_total_messages,next_unique_amplification_on_time,next_unique_amplification_total,next_message_amplification_on_time,next_message_amplification_total,next_duplication_on_time,next_duplication_total,next_total_messages
55874408,7,306,130,0,0,0,309,193,0,306,130,464,258,1,1,2985,0,46,119,0.10234113712374582,0.1551839464882943,0.10234113712374582,0.205685618729097,1.0,1.3254310344827587,615.0,0.08666666666666667,0.172,0.08666666666666667,0.21533333333333332,1.0,1.251937984496124,323.0,0.0,0.0,0.0,0.0,,,0.0
55874409,6,319,127,0,0,0,324,191,0,319,127,491,260,1,1,2702,0,46,109,0.10668896321070234,0.1642140468227425,0.10668896321070234,0.21505016722408027,1.0,1.309572301425662,643.0,0.08466666666666667,0.17333333333333334,0.08466666666666667,0.212,1.0,1.2230769230769232,318.0,0.0,0.0,0.0,0.0,,,0.0
55874410,7,305,117,0,0,0,339,171,0,305,117,489,224,1,1,2806,0,46,115,0.1020066889632107,0.16354515050167223,0.1020066889632107,0.2153846153846154,1.0,1.3169734151329244,644.0,0.078,0.14933333333333335,0.078,0.192,1.0,1.2857142857142858,288.0,0.0,0.0,0.0,0.0,,,0.0
55874411,9,314,118,0,0,0,328,197,0,314,118,499,249,1,1,2752,0,46,111,0.10501672240802676,0.1668896321070234,0.10501672240802676,0.21471571906354514,1.0,1.2865731462925851,642.0,0.07866666666666666,0.166,0.07866666666666666,0.21,1.0,1.2650602409638554,315.0,0.0,0.0,0.0,0.0,,,0.0
55874412,6,329,145,0,0,0,333,184,0,329,145,496,264,1,1,2809,0,46,143,0.11003344481605351,0.16588628762541807,0.11003344481605351,0.2214046822742475,1.0,1.3346774193548387,662.0,0.09666666666666666,0.176,0.09666666666666666,0.21933333333333332,1.0,1.246212121212121,329.0,0.0,0.0,0.0,0.0,,,0.0
55874413,4,315,127,0,0,0,349,210,0,315,127,499,273,1,1,2707,0,46,90,0.10535117056856187,0.1668896321070234,0.10535117056856187,0.22207357859531773,1.0,1.3306613226452906,664.0,0.08466666666666667,0.182,0.08466666666666667,0.22466666666666665,1.0,1.2344322344322345,337.0,0.0,0.0,0.0,0.0,,,0.0
55874414,6,321,136,0,0,0,333,198,0,321,136,500,263,1,1,3101,0,57,136,0.10735785953177257,0.16722408026755853,0.10735785953177257,0.21872909698996656,1.0,1.308,654.0,0.09066666666666667,0.17533333333333334,0.09066666666666667,0.22266666666666668,1.0,1.2699619771863118,334.0,0.0,0.0,0.0,0.0,,,0.0
55874415,8,323,141,0,0,0,333,193,0,323,141,482,265,1,1,2799,0,57,129,0.10802675585284281,0.16120401337792642,0.10802675585284281,0.2193979933110368,1.0,1.3609958506224067,656.0,0.094,0.17666666666666667,0.094,0.22266666666666668,1.0,1.260377358490566,334.0,0.0,0.0,0.0,0.0,,,0.0
55874416,8,312,140,0,0,0,337,193,0,312,140,484,267,1,1,2806,0,57,136,0.10434782608695652,0.16187290969899665,0.10434782608695652,0.21705685618729098,1.0,1.3409090909090908,649.0,0.09333333333333334,0.178,0.09333333333333334,0.222,1.0,1.247191011235955,333.0,0.0,0.0,0.0,0.0,,,0.0
55874417,7,311,116,0,0,0,327,198,0,311,116,481,258,1,1,2673,0,58,115,0.1040133779264214,0.1608695652173913,0.1040133779264214,0.21337792642140468,1.0,1.3264033264033264,638.0,0.07733333333333334,0.172,0.07733333333333334,0.20933333333333334,1.0,1.2170542635658914,314.0,0.0,0.0,0.0,0.0,,,0.0
55874418,7,309,133,0,0,0,334,185,0,309,133,484,255,1,1,2816,0,58,133,0.10334448160535117,0.16187290969899665,0.10334448160535117,0.21505016722408027,1.0,1.328512396694215,643.0,0.08866666666666667,0.17,0.08866666666666667,0.212,1.0,1.2470588235294118,318.0,0.0,0.0,0.0,0.0,,,0.0
55874419,2,336,148,0,0,0,321,199,0,336,148,495,278,1,1,2901,0,58,126,0.11237458193979934,0.16555183946488294,0.11237458193979934,0.2197324414715719,1.0,1.3272727272727274,657.0,0.09866666666666667,0.18533333333333332,0.09866666666666667,0.23133333333333334,1.0,1.2482014388489209,347.0,0.0,0.0,0.0,0.0,,,0.0
55874420,5,321,149,0,0,0,350,198,0,321,149,508,273,1,1,2822,0,58,144,0.10735785953177257,0.16989966555183947,0.10735785953177257,0.22441471571906355,1.0,1.3208661417322836,671.0,0.09933333333333333,0.182,0.09933333333333333,0.23133333333333334,1.0,1.271062271062271,347.0,0.0,0.0,0.0,0.0,,,0.0
55874421,6,320,154,0,0,0,336,207,0,320,154,496,280,1,1,2882,0,57,149,0.10702341137123746,0.16588628762541807,0.10702341137123746,0.2193979933110368,1.0,1.3225806451612903,656.0,0.10266666666666667,0.18666666666666668,0.10266666666666667,0.24066666666666667,1.0,1.2892857142857144,361.0,0.0,0.0,0.0,0.0,,,0.0
55874422,5,291,132,0,0,0,337,201,0,291,132,484,265,1,1,2715,0,57,117,0.09732441471571907,0.16187290969899665,0.09732441471571907,0.21003344481605352,1.0,1.2975206611570247,628.0,0.088,0.17666666666666667,0.088,0.222,1.0,1.2566037735849056,333.0,0.0,0.0,0.0,0.0,,,0.0
55874423,9,340,132,0,0,0,311,198,0,340,132,486,260,1,1,2726,0,57,123,0.11371237458193979,0.1625418060200669,0.11371237458193979,0.2177257525083612,1.0,1.3395061728395061,651.0,0.088,0.17333333333333334,0.088,0.22,1.0,1.2692307692307692,330.0,0.0,0.0,0.0,0.0,,,0.0
