round,step,period,category,proposal_block_digest,proposal_encoding_digest,proposal_original_period,proposal_original_proposer,unique_senders,total_messages
55874391,1,0,late,2f1b88048622ac0301ea25cf6e0593ae19d8442f3940f42f0f41e9f6fcb38716,9e8a5e517aef6df8edcfb019f59b9899d9badcddcbba877eb2e82466a861d657,0,NYMNQ7BFWNKTNJE6U6EGTNSBQIAAERDRHD3VIEINQYFHGSMJXE7CIP6GI4,334,334
55874391,1,0,on_time,f96bbf5771e90c338dbfb1fd7f0edb1856d358818206b5e84976d8cdea7a561d,ebc1e5a4b9f3eddc250d6ba80566aaf3d32a09ed929f68acd420e1a8b4b713b6,0,4TPMQLUIBMQ6ILR4FSBEWJACEOYJVYZ7PWL333KL47DHVT6TJHH55E5WWE,354,354
55874391,2,0,on_time,f96bbf5771e90c338dbfb1fd7f0edb1856d358818206b5e84976d8cdea7a561d,ebc1e5a4b9f3eddc250d6ba80566aaf3d32a09ed929f68acd420e1a8b4b713b6,0,4TPMQLUIBMQ6ILR4FSBEWJACEOYJVYZ7PWL333KL47DHVT6TJHH55E5WWE,135,135
55874392,1,0,on_time,56c17ad9111251033cc576fd1d0396e4d117e058514cbba10098b987f4bb9f37,6216008327ac77d447b06f542204a6bdbfad5bfe8d16f02a7b39a95d17d8ba99,0,FKDXPRVUHAJKVDDAROMO4W3P256I46Y5J3LYPK3COYEBXRJEETB27DZZMA,323,323
55874392,2,0,on_time,56c17ad9111251033cc576fd1d0396e4d117e058514cbba10098b987f4bb9f37,6216008327ac77d447b06f542204a6bdbfad5bfe8d16f02a7b39a95d17d8ba99,0,FKDXPRVUHAJKVDDAROMO4W3P256I46Y5J3LYPK3COYEBXRJEETB27DZZMA,142,142
55874392,1,0,late,f96bbf5771e90c338dbfb1fd7f0edb1856d358818206b5e84976d8cdea7a561d,ebc1e5a4b9f3eddc250d6ba80566aaf3d32a09ed929f68acd420e1a8b4b713b6,0,4TPMQLUIBMQ6ILR4FSBEWJACEOYJVYZ7PWL333KL47DHVT6TJHH55E5WWE,369,369
55874392,2,0,late,f96bbf5771e90c338dbfb1fd7f0edb1856d358818206b5e84976d8cdea7a561d,ebc1e5a4b9f3eddc250d6ba80566aaf3d32a09ed929f68acd420e1a8b4b713b6,0,4TPMQLUIBMQ6ILR4FSBEWJACEOYJVYZ7PWL333KL47DHVT6TJHH55E5WWE,198,198
55874393,2,0,late,56c17ad9111251033cc576fd1d0396e4d117e058514cbba10098b987f4bb9f37,6216008327ac77d447b06f542204a6bdbfad5bfe8d16f02a7b39a95d17d8ba99,0,FKDXPRVUHAJKVDDAROMO4W3P256I46Y5J3LYPK3COYEBXRJEETB27DZZMA,187,187
55874393,1,0,late,56c17ad9111251033cc576fd1d0396e4d117e058514cbba10098b987f4bb9f37,6216008327ac77d447b06f542204a6bdbfad5bfe8d16f02a7b39a95d17d8ba99,0,FKDXPRVUHAJKVDDAROMO4W3P256I46Y5J3LYPK3COYEBXRJEETB27DZZMA,345,345
55874393,1,0,on_time,b9e4b1b96eb088a10250ae27b75672a26df0fa1d4844ca53d424b31588dc0486,640de1c9d025d5a1fad6b6333b8cd54283520d3f7ffd379b4bac39081e484622,0,3UDVJVLH6KIISVHVQYBTJTBKJOLZJYDXQBDT4RR3S54N67ZXY2XZSXEYPQ,341,341
55874393,2,0,on_time,b9e4b1b96eb088a10250ae27b75672a26df0fa1d4844ca53d424b31588dc0486,640de1c9d025d5a1fad6b6333b8cd54283520d3f7ffd379b4bac39081e484622,0,3UDVJVLH6KIISVHVQYBTJTBKJOLZJYDXQBDT4RR3S54N67ZXY2XZSXEYPQ,129,129
55874394,1,0,on_time,e8f5a1aa8a89b9dfd02abb6b79a7b3bb49b550b2a3d35769a47dc0c6088c42a3,e93dfffdbb8a6dbf7f98eadc023c7aaaa035f5515de49c7b4fe1c66e37556be2,0,KN5T3OPNYGO2QO2ES7SH377WFMYPUBOT3RU37ESOCCWYOMQ7SAWFTHXBJ4,314,314
55874394,2,0,on_time,e8f5a1aa8a89b9dfd02abb6b79a7b3bb49b550b2a3d35769a47dc0c6088c42a3,e93dfffdbb8a6dbf7f98eadc023c7aaaa035f5515de49c7b4fe1c66e37556be2,0,KN5T3OPNYGO2QO2ES7SH377WFMYPUBOT3RU37ESOCCWYOMQ7SAWFTHXBJ4,133,133
55874394,1,0,late,b9e4b1b96eb088a10250ae27b75672a26df0fa1d4844ca53d424b31588dc0486,640de1c9d025d5a1fad6b6333b8cd54283520d3f7ffd379b4bac39081e484622,0,3UDVJVLH6KIISVHVQYBTJTBKJOLZJYDXQBDT4RR3S54N67ZXY2XZSXEYPQ,357,357
55874394,2,0,late,b9e4b1b96eb088a10250ae27b75672a26df0fa1d4844ca53d424b31588dc0486,640de1c9d025d5a1fad6b6333b8cd54283520d3f7ffd379b4bac39081e484622,0,3UDVJVLH6KIISVHVQYBTJTBKJOLZJYDXQBDT4RR3S54N67ZXY2XZSXEYPQ,186,186
55874395,1,0,on_time,1ba3447b89b2819d9d6060623dc03f88d55c0a2d511531e98e73a8bb5d9e4438,5065fc4af9ef7a5d4f45cd75dc46668319a703ef0a8994a00956d2499bec19d9,0,ZLXNOLW4C3ZHFURW7SEFWUVQSW4UQHW74OWV75FCT7BC5FWQZLZAEKDRAQ,302,302
55874395,2,0,on_time,1ba3447b89b2819d9d6060623dc03f88d55c0a2d511531e98e73a8bb5d9e4438,5065fc4af9ef7a5d4f45cd75dc46668319a703ef0a8994a00956d2499bec19d9,0,ZLXNOLW4C3ZHFURW7SEFWUVQSW4UQHW74OWV75FCT7BC5FWQZLZAEKDRAQ,116,116
55874395,1,0,late,e8f5a1aa8a89b9dfd02abb6b79a7b3bb49b550b2a3d35769a47dc0c6088c42a3,e93dfffdbb8a6dbf7f98eadc023c7aaaa035f5515de49c7b4fe1c66e37556be2,0,KN5T3OPNYGO2QO2ES7SH377WFMYPUBOT3RU37ESOCCWYOMQ7SAWFTHXBJ4,337,337
55874395,2,0,late,e8f5a1aa8a89b9dfd02abb6b79a7b3bb49b550b2a3d35769a47dc0c6088c42a3,e93dfffdbb8a6dbf7f98eadc023c7aaaa035f5515de49c7b4fe1c66e37556be2,0,KN5T3OPNYGO2QO2ES7SH377WFMYPUBOT3RU37ESOCCWYOMQ7SAWFTHXBJ4,172,172
