round,proposals,soft_votes,cert_votes,next_votes,pipelined_soft_votes,pipelined_cert_votes,late_soft_votes,late_cert_votes,late_next_votes,soft_unique_senders,cert_unique_senders,soft_total_unique_senders,cert_total_unique_senders,soft_periods,cert_periods,round_duration_ms,in_peers,out_peers,bundle_votes
55874590,8,302,154,0,0,0,302,182,0,302,154,450,269,1,1,2865,0,54,154
55874591,8,315,127,0,0,0,320,187,0,315,127,489,249,1,1,2811,0,54,127
55874592,6,310,130,0,0,0,328,172,0,310,130,474,239,1,1,2813,0,54,118
55874593,7,300,137,0,0,0,332,177,0,300,137,471,247,1,1,2855,0,57,94
55874594,5,310,133,0,0,0,321,181,0,310,133,481,246,1,1,2781,0,57,106
55874595,5,330,132,0,0,0,328,167,0,330,132,490,232,1,1,2820,0,57,132
55874596,6,313,131,0,0,0,347,176,0,313,131,488,241,1,1,2705,0,57,131
55874597,6,308,138,0,0,0,338,194,0,308,138,489,263,1,1,2953,0,57,113
55874598,9,339,142,0,0,0,325,189,0,339,142,505,264,1,1,2854,0,57,142
55874599,9,329,137,0,0,0,352,190,0,329,137,523,262,1,1,2654,0,57,137
55874600,6,338,137,0,0,0,343,184,0,338,137,532,261,1,1,2827,0,57,124
55874601,5,343,137,0,0,0,350,181,0,343,137,526,261,1,1,2840,0,57,134
55874602,5,309,140,0,0,0,351,197,0,309,140,497,271,1,1,2707,0,57,118
55874603,5,311,147,0,0,0,321,199,0,311,147,480,274,1,1,2824,0,57,147
55874604,3,303,134,0,0,0,329,184,0,303,134,476,254,1,1,2579,0,57,93
55874605,5,312,133,0,0,0,319,184,0,312,133,473,252,1,1,2861,0,57,126
55874606,6,288,145,0,0,0,331,185,0,288,145,465,263,1,1,2772,0,57,117
55874607,7,303,147,0,0,0,304,200,0,303,147,452,268,1,1,2918,0,57,146
55874608,9,330,136,0,0,0,305,184,0,330,136,486,252,1,1,2940,0,57,136
55874609,7,328,150,0,0,0,346,178,0,328,150,497,260,1,1,2719,0,57,147
55874610,5,326,140,0,0,0,337,189,0,326,140,499,261,1,1,2909,0,57,115
55874611,8,302,137,0,0,0,338,189,0,302,137,460,258,1,1,2743,0,57,137
55874612,11,309,140,0,0,0,312,182,0,309,140,459,259,1,1,2619,0,57,119
55874613,5,297,140,0,0,0,328,186,0,297,140,468,258,1,1,3018,0,57,88
55874614,6,303,150,0,0,0,321,185,0,303,150,460,269,1,1,2592,0,57,139
55874615,8,316,142,0,0,0,317,203,0,316,142,479,281,1,1,3173,0,57,142
55874616,6,304,142,0,0,0,330,182,0,304,142,485,256,1,1,2538,0,57,115
55874617,5,299,131,0,0,0,321,207,0,299,131,467,272,1,1,2563,0,57,121
55874618,3,308,136,0,0,0,306,183,0,308,136,471,255,1,1,2898,0,57,123
